normalized_name,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,top_source,top_identifier,variant_count
triton x-100,414,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 3, ""2018"": 15, ""2019"": 35, ""2020"": 54, ""2021"": 67, ""2022"": 57, ""2023"": 54, ""2024"": 50, ""2025"": 70, ""2026"": 9}","{""2017"": 0.018519, ""2018"": 0.039578, ""2019"": 0.059423, ""2020"": 0.082695, ""2021"": 0.089692, ""2022"": 0.088924, ""2023"": 0.094077, ""2024"": 0.114943, ""2025"": 0.127971, ""2026"": 0.111111}",0.082693,0.0106852,Sigma-Aldrich,Cat# T8787,107
dapi,373,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 11, ""2018"": 20, ""2019"": 40, ""2020"": 42, ""2021"": 60, ""2022"": 43, ""2023"": 48, ""2024"": 34, ""2025"": 64, ""2026"": 11}","{""2017"": 0.067901, ""2018"": 0.05277, ""2019"": 0.067912, ""2020"": 0.064319, ""2021"": 0.080321, ""2022"": 0.067083, ""2023"": 0.083624, ""2024"": 0.078161, ""2025"": 0.117002, ""2026"": 0.135802}",0.081489,0.00701002,Sigma-Aldrich,Cat# D9542,80
fetal bovine serum,370,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 16, ""2019"": 31, ""2020"": 42, ""2021"": 62, ""2022"": 57, ""2023"": 51, ""2024"": 46, ""2025"": 55, ""2026"": 8}","{""2017"": 0.012346, ""2018"": 0.042216, ""2019"": 0.052632, ""2020"": 0.064319, ""2021"": 0.082999, ""2022"": 0.088924, ""2023"": 0.08885, ""2024"": 0.105747, ""2025"": 0.100548, ""2026"": 0.098765}",0.073735,0.00928,Gibco,Cat#12676029,170
hepes,294,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 14, ""2019"": 28, ""2020"": 37, ""2021"": 48, ""2022"": 40, ""2023"": 38, ""2024"": 34, ""2025"": 46, ""2026"": 7}","{""2017"": 0.012346, ""2018"": 0.036939, ""2019"": 0.047538, ""2020"": 0.056662, ""2021"": 0.064257, ""2022"": 0.062402, ""2023"": 0.066202, ""2024"": 0.078161, ""2025"": 0.084095, ""2026"": 0.08642}",0.059502,0.00713114,Sigma-Aldrich,Cat# 15630080,82
puromycin,281,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 7, ""2018"": 18, ""2019"": 32, ""2020"": 21, ""2021"": 43, ""2022"": 42, ""2023"": 41, ""2024"": 23, ""2025"": 49, ""2026"": 5}","{""2017"": 0.04321, ""2018"": 0.047493, ""2019"": 0.054329, ""2020"": 0.032159, ""2021"": 0.057564, ""2022"": 0.065523, ""2023"": 0.071429, ""2024"": 0.052874, ""2025"": 0.08958, ""2026"": 0.061728}",0.057589,0.00351368,Sigma-Aldrich,Cat#P8833,70
dnase i,263,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 10, ""2019"": 30, ""2020"": 33, ""2021"": 48, ""2022"": 27, ""2023"": 32, ""2024"": 27, ""2025"": 46, ""2026"": 8}","{""2017"": 0.012346, ""2018"": 0.026385, ""2019"": 0.050934, ""2020"": 0.050536, ""2021"": 0.064257, ""2022"": 0.042122, ""2023"": 0.055749, ""2024"": 0.062069, ""2025"": 0.084095, ""2026"": 0.098765}",0.054726,0.00746016,Roche,Cat# 10104159001,82
bovine serum albumin,231,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 10, ""2019"": 19, ""2020"": 18, ""2021"": 37, ""2022"": 28, ""2023"": 32, ""2024"": 33, ""2025"": 39, ""2026"": 11}","{""2017"": 0.024691, ""2018"": 0.026385, ""2019"": 0.032258, ""2020"": 0.027565, ""2021"": 0.049531, ""2022"": 0.043682, ""2023"": 0.055749, ""2024"": 0.075862, ""2025"": 0.071298, ""2026"": 0.135802}",0.054282,0.00976431,Sigma-Aldrich,Cat# A2153,93
dmem,248,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 13, ""2019"": 23, ""2020"": 28, ""2021"": 37, ""2022"": 35, ""2023"": 31, ""2024"": 32, ""2025"": 38, ""2026"": 7}","{""2017"": 0.024691, ""2018"": 0.034301, ""2019"": 0.039049, ""2020"": 0.042879, ""2021"": 0.049531, ""2022"": 0.054602, ""2023"": 0.054007, ""2024"": 0.073563, ""2025"": 0.06947, ""2026"": 0.08642}",0.052851,0.00613796,Gibco,Cat#11965092,125
penicillin-streptomycin,262,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 7, ""2019"": 26, ""2020"": 33, ""2021"": 38, ""2022"": 33, ""2023"": 37, ""2024"": 29, ""2025"": 53, ""2026"": 5}","{""2017"": 0.006173, ""2018"": 0.01847, ""2019"": 0.044143, ""2020"": 0.050536, ""2021"": 0.05087, ""2022"": 0.051482, ""2023"": 0.06446, ""2024"": 0.066667, ""2025"": 0.096892, ""2026"": 0.061728}",0.051142,0.00729674,Gibco,Cat# 15140122,51
paraformaldehyde,239,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 8, ""2018"": 16, ""2019"": 20, ""2020"": 24, ""2021"": 33, ""2022"": 37, ""2023"": 38, ""2024"": 28, ""2025"": 30, ""2026"": 5}","{""2017"": 0.049383, ""2018"": 0.042216, ""2019"": 0.033956, ""2020"": 0.036753, ""2021"": 0.044177, ""2022"": 0.057722, ""2023"": 0.066202, ""2024"": 0.064368, ""2025"": 0.054845, ""2026"": 0.061728}",0.051135,0.00274824,Electron Microscopy Sciences,Cat# P6148,100
proteinase k,235,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 9, ""2018"": 12, ""2019"": 35, ""2020"": 23, ""2021"": 30, ""2022"": 34, ""2023"": 36, ""2024"": 21, ""2025"": 30, ""2026"": 5}","{""2017"": 0.055556, ""2018"": 0.031662, ""2019"": 0.059423, ""2020"": 0.035222, ""2021"": 0.040161, ""2022"": 0.053042, ""2023"": 0.062718, ""2024"": 0.048276, ""2025"": 0.054845, ""2026"": 0.061728}",0.050263,0.0015604,Roche,P8107S,102
tamoxifen,206,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 12, ""2018"": 13, ""2019"": 19, ""2020"": 22, ""2021"": 32, ""2022"": 23, ""2023"": 23, ""2024"": 25, ""2025"": 31, ""2026"": 6}","{""2017"": 0.074074, ""2018"": 0.034301, ""2019"": 0.032258, ""2020"": 0.033691, ""2021"": 0.042838, ""2022"": 0.035881, ""2023"": 0.04007, ""2024"": 0.057471, ""2025"": 0.056673, ""2026"": 0.074074}",0.048133,0.00178697,Sigma-Aldrich,Cat# T5648,23
l-glutamine,217,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 15, ""2019"": 19, ""2020"": 23, ""2021"": 32, ""2022"": 32, ""2023"": 18, ""2024"": 33, ""2025"": 35, ""2026"": 5}","{""2017"": 0.030864, ""2018"": 0.039578, ""2019"": 0.032258, ""2020"": 0.035222, ""2021"": 0.042838, ""2022"": 0.049922, ""2023"": 0.031359, ""2024"": 0.075862, ""2025"": 0.063985, ""2026"": 0.061728}",0.046362,0.004013,Thermo Fisher Scientific,Cat# 25030081,54
