normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
fetal bovine serum,Sigma-Aldrich,Cat# F2442,551,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 6, ""2018"": 26, ""2019"": 45, ""2020"": 66, ""2021"": 97, ""2022"": 85, ""2023"": 70, ""2024"": 60, ""2025"": 84, ""2026"": 12}","{""2017"": 0.037037, ""2018"": 0.068602, ""2019"": 0.076401, ""2020"": 0.101072, ""2021"": 0.129853, ""2022"": 0.132605, ""2023"": 0.121951, ""2024"": 0.137931, ""2025"": 0.153565, ""2026"": 0.148148}",0.110716,0.01192597,,not_found
dapi,Sigma-Aldrich,Cat# D9542,388,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 11, ""2018"": 21, ""2019"": 40, ""2020"": 44, ""2021"": 60, ""2022"": 47, ""2023"": 50, ""2024"": 36, ""2025"": 66, ""2026"": 13}","{""2017"": 0.067901, ""2018"": 0.055409, ""2019"": 0.067912, ""2020"": 0.067381, ""2021"": 0.080321, ""2022"": 0.073323, ""2023"": 0.087108, ""2024"": 0.082759, ""2025"": 0.120658, ""2026"": 0.160494}",0.086327,0.00858481,28718-90-3,sigma_sid
bovine serum albumin,Sigma-Aldrich,Cat# A9418,377,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 18, ""2019"": 30, ""2020"": 47, ""2021"": 59, ""2022"": 45, ""2023"": 46, ""2024"": 48, ""2025"": 64, ""2026"": 15}","{""2017"": 0.030864, ""2018"": 0.047493, ""2019"": 0.050934, ""2020"": 0.071975, ""2021"": 0.078983, ""2022"": 0.070203, ""2023"": 0.080139, ""2024"": 0.110345, ""2025"": 0.117002, ""2026"": 0.185185}",0.084312,0.01326191,,not_found
triton x-100,Sigma-Aldrich,Cat# T8787,416,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 3, ""2018"": 15, ""2019"": 35, ""2020"": 54, ""2021"": 68, ""2022"": 57, ""2023"": 54, ""2024"": 50, ""2025"": 70, ""2026"": 10}","{""2017"": 0.018519, ""2018"": 0.039578, ""2019"": 0.059423, ""2020"": 0.082695, ""2021"": 0.091031, ""2022"": 0.088924, ""2023"": 0.094077, ""2024"": 0.114943, ""2025"": 0.127971, ""2026"": 0.123457}",0.084062,0.01135049,2497-59-8,sigma_sid
penicillin-streptomycin,Gibco,Cat# 15140122,328,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 9, ""2019"": 30, ""2020"": 40, ""2021"": 51, ""2022"": 44, ""2023"": 44, ""2024"": 38, ""2025"": 63, ""2026"": 8}","{""2017"": 0.006173, ""2018"": 0.023747, ""2019"": 0.050934, ""2020"": 0.061256, ""2021"": 0.068273, ""2022"": 0.068643, ""2023"": 0.076655, ""2024"": 0.087356, ""2025"": 0.115174, ""2026"": 0.098765}",0.065698,0.01031517,,name
hepes,Sigma-Aldrich,Cat# 15630080,324,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 14, ""2019"": 32, ""2020"": 41, ""2021"": 52, ""2022"": 44, ""2023"": 45, ""2024"": 35, ""2025"": 51, ""2026"": 8}","{""2017"": 0.012346, ""2018"": 0.036939, ""2019"": 0.054329, ""2020"": 0.062787, ""2021"": 0.069612, ""2022"": 0.068643, ""2023"": 0.078397, ""2024"": 0.08046, ""2025"": 0.093236, ""2026"": 0.098765}",0.065551,0.00817192,7365-45-9,name
paraformaldehyde,Electron Microscopy Sciences,Cat# P6148,301,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 9, ""2018"": 18, ""2019"": 25, ""2020"": 27, ""2021"": 44, ""2022"": 48, ""2023"": 48, ""2024"": 39, ""2025"": 36, ""2026"": 7}","{""2017"": 0.055556, ""2018"": 0.047493, ""2019"": 0.042445, ""2020"": 0.041348, ""2021"": 0.058902, ""2022"": 0.074883, ""2023"": 0.083624, ""2024"": 0.089655, ""2025"": 0.065814, ""2026"": 0.08642}",0.064614,0.00475684,,not_found
puromycin,Sigma-Aldrich,Cat#P8833,286,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 8, ""2018"": 19, ""2019"": 32, ""2020"": 22, ""2021"": 43, ""2022"": 42, ""2023"": 41, ""2024"": 25, ""2025"": 49, ""2026"": 5}","{""2017"": 0.049383, ""2018"": 0.050132, ""2019"": 0.054329, ""2020"": 0.033691, ""2021"": 0.057564, ""2022"": 0.065523, ""2023"": 0.071429, ""2024"": 0.057471, ""2025"": 0.08958, ""2026"": 0.061728}",0.059083,0.00317652,58-58-2,sigma_sid
dnase i,Roche,Cat# 10104159001,274,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 11, ""2019"": 31, ""2020"": 35, ""2021"": 50, ""2022"": 28, ""2023"": 34, ""2024"": 29, ""2025"": 46, ""2026"": 8}","{""2017"": 0.012346, ""2018"": 0.029024, ""2019"": 0.052632, ""2020"": 0.053599, ""2021"": 0.066934, ""2022"": 0.043682, ""2023"": 0.059233, ""2024"": 0.066667, ""2025"": 0.084095, ""2026"": 0.098765}",0.056698,0.00743699,,not_found
dmem,Gibco,Cat#11965092,265,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 4, ""2018"": 14, ""2019"": 26, ""2020"": 28, ""2021"": 39, ""2022"": 38, ""2023"": 31, ""2024"": 34, ""2025"": 44, ""2026"": 7}","{""2017"": 0.024691, ""2018"": 0.036939, ""2019"": 0.044143, ""2020"": 0.042879, ""2021"": 0.052209, ""2022"": 0.059282, ""2023"": 0.054007, ""2024"": 0.078161, ""2025"": 0.080439, ""2026"": 0.08642}",0.055917,0.00648849,,not_found
l-glutamine,Thermo Fisher Scientific,Cat# 25030081,251,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 19, ""2019"": 22, ""2020"": 28, ""2021"": 37, ""2022"": 34, ""2023"": 25, ""2024"": 37, ""2025"": 39, ""2026"": 5}","{""2017"": 0.030864, ""2018"": 0.050132, ""2019"": 0.037351, ""2020"": 0.042879, ""2021"": 0.049531, ""2022"": 0.053042, ""2023"": 0.043554, ""2024"": 0.085057, ""2025"": 0.071298, ""2026"": 0.061728}",0.052544,0.00406064,56-85-9,name
proteinase k,Thermo Fisher Scientific,P8107S,241,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 9, ""2018"": 13, ""2019"": 35, ""2020"": 23, ""2021"": 30, ""2022"": 36, ""2023"": 37, ""2024"": 22, ""2025"": 31, ""2026"": 5}","{""2017"": 0.055556, ""2018"": 0.034301, ""2019"": 0.059423, ""2020"": 0.035222, ""2021"": 0.040161, ""2022"": 0.056162, ""2023"": 0.06446, ""2024"": 0.050575, ""2025"": 0.056673, ""2026"": 0.061728}",0.051426,0.00164627,,not_found
